Month,Trades,Win_Rate,Net_PnL,Max_DD,Avg_Uncertainty
2022-01,14,57.1%,71.26,0.08%,0.1623
2022-02,16,62.5%,231.01,0.06%,0.1660
2022-03,25,52.0%,141.07,0.17%,0.1806
2022-04,18,61.1%,-232.86,0.36%,0.1808
2022-05,17,41.2%,-292.96,0.29%,0.1634
2022-06,17,29.4%,-167.70,0.26%,0.1504
2022-07,25,52.0%,50.80,0.12%,0.1981
2022-08,18,72.2%,322.49,0.18%,0.1557
2022-09,18,50.0%,158.67,0.03%,0.1436
2022-10,27,66.7%,112.91,0.07%,0.1753
2022-11,19,68.4%,223.30,0.08%,0.1409
2022-12,24,58.3%,294.92,0.11%,0.1573
2023-01,23,60.9%,308.96,0.10%,0.1443
2023-02,35,65.7%,283.07,0.05%,0.1664
2023-03,26,42.3%,-400.45,0.45%,0.1495
2023-04,17,41.2%,64.70,0.09%,0.1883
2023-05,24,54.2%,-195.98,0.31%,0.1757
2023-06,32,56.2%,-13.56,0.14%,0.1613
2023-07,28,42.9%,107.50,0.11%,0.1568
2023-08,25,44.0%,-19.88,0.14%,0.1569
2023-09,15,60.0%,23.93,0.08%,0.1621
2023-10,23,47.8%,96.64,0.07%,0.1478
2023-11,27,55.6%,215.19,0.06%,0.1679
2023-12,21,52.4%,-116.20,0.22%,0.1644
2024-01,30,53.3%,109.38,0.16%,0.1649
2024-02,28,50.0%,9.50,0.06%,0.1924
2024-03,18,72.2%,182.25,0.02%,0.1777
2024-04,24,62.5%,-220.98,0.35%,0.1866
2024-05,24,45.8%,43.04,0.33%,0.1712
2024-06,23,56.5%,36.80,0.31%,0.1827
2024-07,19,36.8%,-161.77,0.21%,0.1744
2024-08,17,52.9%,5.26,0.10%,0.1399
2024-09,16,50.0%,-21.47,0.22%,0.1575
2024-10,20,55.0%,151.97,0.06%,0.1801
2024-11,16,56.2%,136.21,0.10%,0.1764
2024-12,21,61.9%,83.19,0.10%,0.1660
2025-01,18,61.1%,158.37,0.09%,0.1525
2025-02,16,68.8%,343.45,0.03%,0.1536
2025-03,30,50.0%,162.75,0.14%,0.1670
2025-04,23,65.2%,851.42,0.07%,0.1350
2025-05,21,61.9%,381.12,0.07%,0.1799
2025-06,22,54.5%,421.90,0.10%,0.1636
2025-07,25,48.0%,-249.54,0.27%,0.1692
2025-08,23,52.2%,-25.02,0.11%,0.1710
2025-09,21,42.9%,169.03,0.10%,0.1534
2025-10,29,44.8%,-654.74,0.82%,0.1751
2025-11,21,47.6%,421.31,0.14%,0.1666
2025-12,16,62.5%,63.75,0.23%,0.1494
2026-01,17,47.1%,1049.23,0.31%,0.1722
2026-02,28,64.3%,-456.90,0.59%,0.1533
2026-03,26,50.0%,129.33,0.52%,0.1684
TOTAL,1126,54.17%,4385.72,0.94%,0.1655
