Metric,Value
Final Balance,"$105,735.38"
Net PnL,"$5,735.38"
Win Rate,54.12%
Profit Factor,1.33
Max DD Dollar,"$997.91"
Max DD Percent,0.94%
Recovery Factor,5.75
Sharpe Ratio,2.56
Trades Pruned,23538
Total Trades,24667
