Ticket,Type,Volume,Entry_Time,Entry_Price,Exit_Time,Exit_Price,Gross_PnL,Swap,Exit_Mu,Exit_Std
439184455,SHORT,0.01,2026-05-01 21:00:05,4643.48,2026-05-01 22:00:06,4610.91,32.57,0.0,-0.017,0.1782
439656054,SHORT,0.01,2026-05-04 08:00:05,4605.06,2026-05-04 06:00:04,4615.23,-10.17,0.0,-0.1355,0.2254
439704083,SHORT,0.01,2026-05-04 10:00:04,4604.94,2026-05-04 08:00:04,4599.43,5.51,0.0,-0.1123,0.207
