Uncertainty_Bin,Total_Trades,Win_Rate,Total_PnL,Avg_Std,Profit_Factor
Tier 1 (High Conviction),226,0.548673,1942.270630,0.125437,1.756298
Tier 2 (High),226,0.544248,1588.617188,0.148614,1.397794
Tier 3 (Moderate),225,0.533333,-72.941391,0.163308,0.981211
Tier 4 (Low),226,0.522124,906.843506,0.178674,1.262646
Tier 5 (Noise/Rejected),226,0.557522,227.277191,0.210272,1.072233
